,Title,Published_date,Views,Likes,Comments,Month
220,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25210,1052,67,May
221,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1179,40,2,May
222,Should You Learn R for Data Science?,2019-04-25,18730,520,69,Apr
223,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,45365,840,337,Apr
224,Work From Home Data Scientist: Day in the Life,2019-04-12,27847,760,103,Apr
225,Where to Look for Data Science Jobs,2019-03-29,2946,118,9,Mar
226,Data Science: Startup vs. Large Corporation,2019-03-21,1998,72,4,Mar
227,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5696,161,25,Mar
228,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4012,173,15,Mar
229,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,759,32,12,Mar
230,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1344,34,8,Mar
231,Where YOU Should Start With Data Science Projects,2019-02-19,14097,299,17,Feb
232,Watch This Before Applying to Data Science Jobs,2019-02-04,1448,63,13,Feb
233,My Top 5 Data Science Resources for 2019,2019-01-05,3621,118,17,Jan
234,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,803,36,6,Dec
235,The Best Way to Predict NBA Minutes Played,2018-12-11,3711,98,13,Dec
236,Demystifying Data Science Roles,2018-11-30,1101,52,5,Nov
237,How to Simulate NBA Games in Python,2018-11-19,16184,364,54,Nov
238,Should You Get A Masters in Data Science?,2018-11-14,20078,297,141,Nov
239,How I Became A Data Scientist From a Business Background,2018-11-12,6203,190,23,Nov
240,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8043,180,17,Jul
241,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18178,282,41,Nov
